city_no,city,country_no,country
615,Goycay,15,Azerbaijan
616,Lankaran,15,Azerbaijan
617,Saki,15,Azerbaijan
618,Stepanakert,15,Azerbaijan
619,Kapan,15,Azerbaijan
620,Naxcivan,15,Azerbaijan
621,Baku,15,Azerbaijan
622,Manama,16,Bahrain
623,Tangail,17,Bangladesh
624,Sylhet,17,Bangladesh
625,Mymensingh,17,Bangladesh
626,Jamalpur,17,Bangladesh
627,Narayanganj,17,Bangladesh
628,Jessore,17,Bangladesh
629,Barisal,17,Bangladesh
630,Comilla,17,Bangladesh
631,Pabna,17,Bangladesh
632,Nawabganj,17,Bangladesh
633,Saidpur,17,Bangladesh
634,Rangpur,17,Bangladesh
635,Khulna,17,Bangladesh
636,Rajshahi,17,Bangladesh
637,Dhaka,17,Bangladesh
638,Chittagong,17,Bangladesh
639,Bridgetown,18,Barbados
640,Baranavichy,19,Belarus
641,Polatsk,19,Belarus
642,Maladzyechna,19,Belarus
643,Pinsk,19,Belarus
644,Mazyr,19,Belarus
645,Mahilyow,19,Belarus
646,Babruysk,19,Belarus
647,Orsha,19,Belarus
648,Lida,19,Belarus
649,Hrodna,19,Belarus
650,Barysaw,19,Belarus
651,Homyel,19,Belarus
652,Vitsyebsk,19,Belarus
653,Brest,19,Belarus
654,Minsk,19,Belarus
655,Mons,20,Belgium
656,Hasselt,20,Belgium
657,Arlon,20,Belgium
658,Gent,20,Belgium
659,Liege,20,Belgium
660,Brugge,20,Belgium
661,Namur,20,Belgium
662,Charleroi,20,Belgium
663,Antwerpen,20,Belgium
664,Brussels,20,Belgium
665,El Cayo,21,Belize
666,Corozal,21,Belize
667,Dangriga,21,Belize
668,Belize City,21,Belize
669,Orange Walk,21,Belize
670,Punta Gorda,21,Belize
671,Belmopan,21,Belize
672,Lokossa,22,Benin
673,Kandi,22,Benin
674,Ouidah,22,Benin
675,Abomey,22,Benin
676,Natitingou,22,Benin
677,Djougou,22,Benin
678,Parakou,22,Benin
679,Porto-Novo,22,Benin
680,Cotonou,22,Benin
681,Hamilton,23,Bermuda
682,Paro,24,Bhutan
683,Punakha,24,Bhutan
684,Wangdue Prodrang,24,Bhutan
685,Thimphu,24,Bhutan
686,Punata,25,Bolivia
687,Cliza,25,Bolivia
688,Quillacollo,25,Bolivia
689,Puerto Villarroel,25,Bolivia
690,Tarabuco,25,Bolivia
691,Guayaramerin,25,Bolivia
692,Santa Ana,25,Bolivia
693,Baures,25,Bolivia
694,Sica Sica,25,Bolivia
695,Rurrenabaque,25,Bolivia
696,Sorata,25,Bolivia
697,Achacachi,25,Bolivia
698,Viacha,25,Bolivia
699,Quime,25,Bolivia
700,Llallagua,25,Bolivia
701,Uncia,25,Bolivia
702,Uyuni,25,Bolivia
703,Villa Martin,25,Bolivia
704,Betanzos,25,Bolivia
705,Portachuelo,25,Bolivia
706,Samaipata,25,Bolivia
707,Cuevo,25,Bolivia
708,San Carlos,25,Bolivia
709,San Lorenzo,25,Bolivia
710,Entre Rios,25,Bolivia
711,Aiquile,25,Bolivia
712,Padilla,25,Bolivia
713,Camargo,25,Bolivia
714,Reyes,25,Bolivia
715,San Borja,25,Bolivia
716,Magdalena,25,Bolivia
717,San Ramon,25,Bolivia
718,Puerto Heath,25,Bolivia
719,Charana,25,Bolivia
720,Puerto Acosta,25,Bolivia
721,Apolo,25,Bolivia
722,Coroico,25,Bolivia
723,Coro Coro,25,Bolivia
724,Sabaya,25,Bolivia
725,Challapata,25,Bolivia
726,Llica,25,Bolivia
727,Potosi,25,Bolivia
728,Villazon,25,Bolivia
729,Tupiza,25,Bolivia
730,Montero,25,Bolivia
731,Piso Firme,25,Bolivia
732,Robore,25,Bolivia
733,Puerto Quijarro,25,Bolivia
734,San Ignacio,25,Bolivia
735,Ascension,25,Bolivia
736,San Javier,25,Bolivia
737,San Rafael,25,Bolivia
738,Vallegrande,25,Bolivia
739,Puerto Suarez,25,Bolivia
740,Charagua,25,Bolivia
741,Villamontes,25,Bolivia
742,Bermejo,25,Bolivia
743,Cochabamba,25,Bolivia
744,Oruro,25,Bolivia
745,Camiri,25,Bolivia
746,Cobija,25,Bolivia
747,San Matias,25,Bolivia
748,San José,25,Bolivia
749,Trinidad,25,Bolivia
750,Tarija,25,Bolivia
751,Sucre,25,Bolivia
752,Riberalta,25,Bolivia
753,La Paz,25,Bolivia
754,Santa Cruz,25,Bolivia
755,Zenica,26,Bosnia and Herzegovina
756,Mostar,26,Bosnia and Herzegovina
757,Tuzla,26,Bosnia and Herzegovina
758,Prijedor,26,Bosnia and Herzegovina
759,Banja Luka,26,Bosnia and Herzegovina
760,Sarajevo,26,Bosnia and Herzegovina
761,Mochudi,27,Botswana
762,Ghanzi,27,Botswana
763,Lokhwabe,27,Botswana
764,Lehututu,27,Botswana
765,Tshabong,27,Botswana
766,Tsau,27,Botswana
767,Nokaneng,27,Botswana
768,Mohembo,27,Botswana
769,Maun,27,Botswana
770,Kasane,27,Botswana
771,Nata,27,Botswana
772,Mopipi,27,Botswana
773,Palapye,27,Botswana
774,Lobatse,27,Botswana
775,Kanye,27,Botswana
776,Molepolole,27,Botswana
777,Francistown,27,Botswana
778,Mahalapye,27,Botswana
779,Serowe,27,Botswana
780,Gaborone,27,Botswana
781,Grajau,28,Brazil
782,Presidente Dutra,28,Brazil
783,Itapecuru Mirim,28,Brazil
784,Sao Jose de Ribamar,28,Brazil
785,Santa Ines,28,Brazil
786,Rosario,28,Brazil
787,Timon,28,Brazil
788,Capanema,28,Brazil
789,Portel,28,Brazil
790,Itupiranga,28,Brazil
791,Pimenta Bueno,28,Brazil
792,Ponta Pora,28,Brazil
793,Maracaju,28,Brazil
794,Jardim,28,Brazil
795,Tres Lagoas,28,Brazil
796,Guanhaes,28,Brazil
797,Leopoldina,28,Brazil
798,Nova Lima,28,Brazil
799,Pouso Alegre,28,Brazil
800,Itauna,28,Brazil
801,Caratinga,28,Brazil
802,Diamantina,28,Brazil
803,Nanuque,28,Brazil
804,Barbacena,28,Brazil
805,Pocos de Caldas,28,Brazil
806,Guaxupe,28,Brazil
807,Sao Joao del Rei,28,Brazil
808,Muriae,28,Brazil
809,Passos,28,Brazil
810,Conselheiro Lafaiete,28,Brazil
811,Formiga,28,Brazil
812,Frutal,28,Brazil
813,Iturama,28,Brazil
814,Ituiutaba,28,Brazil
815,Araguari,28,Brazil
816,Almenara,28,Brazil
817,Varzea Grande,28,Brazil
818,Cáceres,28,Brazil
